Order No.,Type,Fiat Amount,Price,Coin Amount,Counterparty,Status,Time
1890417227827699712,BUY,10110,95.15,106.2533,radopopik_must,Canceled,2025-02-14 15:06:05+00
1890417900855455744,BUY,15000,95,157.8948,Fast.Swap,Completed,2025-02-14 15:08:45+00
1890432659078287360,BUY,6300,94,67.0213,NikoBentleyBTC,Completed,2025-02-14 16:07:24+00
1890999545347203072,SELL,5000,94.91,52.6815,VioTether,Completed,2025-02-16 05:40:00+00
1891008075710263296,BUY,2538,93.31,27.1997,Az_O,Completed,2025-02-16 06:13:54+00
1891009488306118656,BUY,2282,93.31,24.4562,Az_O,Completed,2025-02-16 06:19:31+00
1891018052786642944,SELL,2000.01,95.05,21.0417,jestergg,Completed,2025-02-16 06:53:33+00
1891021962830286848,SELL,15000,95,157.8948,bliskavka,Completed,2025-02-16 07:09:05+00
1891159787906117632,BUY,4000.01,92.4,43.2902,obmenkrasnodar1,Completed,2025-02-16 16:16:45+00
1891454927320186880,BUY,1113,92.49,12.0338,Mikey221,Completed,2025-02-17 11:49:32+00
1891458185971433472,SELL,6750,95.12,70.963,moriony,Completed,2025-02-17 12:02:29+00
1891518142147657728,BUY,618,91.9,6.7248,ruslaan,Completed,2025-02-17 16:00:44+00
1891520617504243712,BUY,5088.01,92.32,55.1128,ahm_mag,Completed,2025-02-17 16:10:34+00
1891523029077889024,BUY,5000,92.25,54.2006,"Makstein ",Canceled,2025-02-17 16:20:09+00
1891524649121443840,BUY,20000,92.46,216.3098,Dasha04,Canceled,2025-02-17 16:26:35+00
1891527212730380288,BUY,12000,92.45,129.7999,??MILASHKA_VIP,Completed,2025-02-17 16:36:46+00
1891531064734339072,SELL,15000.01,94.8,158.228,TigerCoin,Completed,2025-02-17 16:52:04+00
1891874205426720768,BUY,3901,92.68,42.0911,Region38,Completed,2025-02-18 15:35:36+00
1891875295068975104,BUY,2226,92.5,24.0649,HustrikP2P,Completed,2025-02-18 15:39:55+00
1891878435340361728,BUY,1683,92.5,18.1946,Martantrade,Completed,2025-02-18 15:52:24+00
1891882158263816192,SELL,15000.01,94.81,158.2113,Love is�.??,Completed,2025-02-18 16:07:12+00
1892417961688076288,BUY,13775,90.89,151.5569,Silenze,Completed,2025-02-20 03:36:17+00
1892420254795165696,SELL,8000.01,92.28,86.6928,??????,Completed,2025-02-20 03:45:24+00
1892534954649243648,BUY,5000,90.4,55.3098,xavierr,Completed,2025-02-20 11:21:11+00
1892541298658897920,BUY,4590,90.3,50.8306,RaTreder,Completed,2025-02-20 11:46:23+00
1892542427888877568,SELL,16556,92.72,178.5592,RrealityRift,Completed,2025-02-20 11:50:52+00
1892594259926867968,BUY,6000,90.2,66.5189,thnip,Completed,2025-02-20 15:16:50+00
1892608502065430528,BUY,6000,90.7,66.1522,_.ANGEL._,Completed,2025-02-20 16:13:25+00
1892891624326950912,SELL,12860.01,91.7,140.2401,Ismail95v,Completed,2025-02-21 10:58:27+00
1894695517625044992,BUY,50000.01,87.2,573.3947,ROX and BOX,Completed,2025-02-26 10:26:29+00
1894696351502077952,SELL,41850,90.1,464.484,Kirill_eim,Completed,2025-02-26 10:29:47+00
1894698182651613184,SELL,10000.01,90.36,110.6686,Ahi95,Completed,2025-02-26 10:37:04+00
1894704006723112960,BUY,50000.01,87.09,574.1189,ROX and BOX,Completed,2025-02-26 11:00:13+00
1894704660663791616,SELL,48550.1,90.25,537.9513,AsyaIO,Completed,2025-02-26 11:02:48+00
1894706803810529280,SELL,4095,90.45,45.2737,UpToYou ?,Completed,2025-02-26 11:11:20+00
1896148693746843648,BUY,33950,89.55,379.1179,Chuch4riki_team,Completed,2025-03-02 10:40:53+00
1896150461490204672,SELL,29500,91.2,323.465,UpToYou ?,Completed,2025-03-02 10:47:54+00
1896152016799100928,SELL,3870,91,42.5275,MEKAZ,Completed,2025-03-02 10:54:05+00
1896160021784338432,BUY,15115,89.4,169.0716,nokanjivan,Completed,2025-03-02 11:25:54+00
1896161947088302080,SELL,12750,91.3,139.6496,DZEN21,Completed,2025-03-02 11:33:33+00
1896167873983860736,BUY,10782,89.85,120,MUHAMMAD500,Completed,2025-03-02 11:57:06+00
1896201860005830656,SELL,597.36,99.56,6,Muhammad5555,Completed,2025-03-02 14:12:09+00
1896948556240011264,BUY,10000,91.33,109.4931,ZagirGG,Completed,2025-03-04 15:39:15+00
1896950291080663040,SELL,12100.01,93.22,129.8006,allmoney,Completed,2025-03-04 15:46:09+00
1896951219258175488,BUY,10512,91.3,115.137,Nom_Nom,Completed,2025-03-04 15:49:50+00
1896953441993400320,BUY,12987,91.29,142.261,User23066azOEg,Completed,2025-03-04 15:58:40+00
1897910822350458880,SELL,18000,92.2,195.2278,Irina M,Completed,2025-03-07 07:22:57+00
1897912627953131520,BUY,12000,90.29,132.9051,molodoyexchange,Canceled,2025-03-07 07:30:08+00
1897913588290428928,BUY,6500,90.1,72.1421,erawy,Completed,2025-03-07 07:33:57+00
1897914576481460224,BUY,12000,90.09,133.2002,molodoyexchange,Canceled,2025-03-07 07:37:52+00
1898043466239004672,SELL,20000,91.25,219.1781,rheiny,Completed,2025-03-07 16:10:02+00
1898271651403747328,BUY,5500,88.65,62.0418,Rauf32,Completed,2025-03-08 07:16:46+00
1898273515298308096,BUY,19574,88.49,221.2002,?? Mag1c_change,Completed,2025-03-08 07:24:10+00
1898275455071244288,BUY,19950,88.57,225.2456,bugly,Canceled,2025-03-08 07:31:52+00
1898276324475854848,BUY,14121,88.5,159.5594,ivanmaksimov,Completed,2025-03-08 07:35:20+00
1898277993989345280,SELL,15000,91,164.8352,DobermanSam,Completed,2025-03-08 07:41:58+00
1898286917130899456,BUY,35000,88.73,394.4551,???????????,Completed,2025-03-08 08:17:25+00
1898731493173039104,SELL,50000,91.1,548.8475,rezedavv,Completed,2025-03-09 13:44:00+00
1898735796538732544,BUY,9150,88.59,103.2848,nenazvan,Completed,2025-03-09 14:01:06+00
1898737952196481024,BUY,39000,88.7,439.6844,obmenkrasnodar1,Completed,2025-03-09 14:09:40+00
1898741998088441856,SELL,56375,91.2,618.147,nnkkk1,Canceled,2025-03-09 14:25:45+00
1899068489132408832,SELL,63900,92.22,692.9083,B3n1Ch,Completed,2025-03-10 12:03:06+00
1899452098607316992,BUY,10000,88.87,112.524,BLATOSPHERA,Canceled,2025-03-11 13:27:26+00
1899453247183945728,BUY,14000,88.89,157.4981,VADIM,Completed,2025-03-11 13:32:00+00
